COLLNUM,Taxon.Name,CATNUM,PRESTYPE,STATUS,ORIGLOCAL,Locality.Selector,LocalityQualifier,ISGPPROV,COLLECTOR,DATECOLL1,gps,elevation,country,province,locality,site,lat,lon,gps_raw,A or B?
--,Oreophryne geislerorum,5286,alcoholic,installed,"Terr. New Guinea, Morobe Distr., Mindik, 1200-1600 m. = from Old Herpetology Catalog",Mindik {Papua New Guinea: Morobe Prov.: Mindik    :    1200-1600 m    :    6.45652803ºS  147.43149002ºE.},,Morobe Prov.,N L H Krauss,07 Jul 1967,"-6.45652803, 147.43149002",1200-1600 m,Papua New Guinea,Morobe Prov.,Mindik    ,Mindik,-6.45652803,147.43149,6.45652803ºS 147.43149002ºE,A
FK 8456,Oreophryne geislerorum,18510,alcoholic,installed,"Camp 1, Mt Shungol, 750 m, 6° 48.975' S, 146° 41.492' E (GPS datum AUS 66) = from F Kraus field catalog","Mt. Shungol, 5.6 km (by air) NW of summit, Camp 1 {Papua New Guinea: Morobe Prov.: Mt. Shungol, 5.6 km (by air) NW of summit, Camp 1    :    750 m    :    6.81625ºS  146.6915333ºE.}",,Morobe Prov.,F Kraus,20 Oct 2003,"-6.81625, 146.6915333",750 m,Papua New Guinea,Morobe Prov.,"Mt. Shungol, 5.6 km (by air) NW of summit, Camp 1    ","Mt. Shungol, 5.6 km (by air) NW of summit, Camp 1",-6.81625,146.6915333,6.81625ºS 146.6915333ºE,A
FK 8686,Oreophryne geislerorum,18511,alcoholic,installed,"Fence 1 area, Mt Shungol, 830 m, 6.81901° S, 146.69623° E  (GPS datum WGS84) = from F Kraus field catalog","Mt. Shungol, 5.1 km (by air) NW of summit, Fence 1 area {Papua New Guinea: Morobe Prov.: Mt. Shungol, 5.1 km (by air) NW of summit, Fence 1 area    :    830 m    :    6.82043ºS  146.69521ºE.}",,Morobe Prov.,F Kraus,25 Oct 2003,"-6.82043, 146.69521",830 m,Papua New Guinea,Morobe Prov.,"Mt. Shungol, 5.1 km (by air) NW of summit, Fence 1 area    ","Mt. Shungol, 5.1 km (by air) NW of summit, Fence 1 area",-6.82043,146.69521,6.82043ºS 146.69521ºE,A
FK 8687,Oreophryne geislerorum,18512,alcoholic,installed,"Camp 1, Mt Shungol, 750 m, 6° 48.975' S, 146° 41.492' E (GPS datum AUS 66) = from F Kraus field catalog","Mt. Shungol, 5.6 km (by air) NW of summit, Camp 1 {Papua New Guinea: Morobe Prov.: Mt. Shungol, 5.6 km (by air) NW of summit, Camp 1    :    750 m    :    6.81625ºS  146.6915333ºE.}",,Morobe Prov.,F Kraus,25 Oct 2003,"-6.81625, 146.6915333",750 m,Papua New Guinea,Morobe Prov.,"Mt. Shungol, 5.6 km (by air) NW of summit, Camp 1    ","Mt. Shungol, 5.6 km (by air) NW of summit, Camp 1",-6.81625,146.6915333,6.81625ºS 146.6915333ºE,A
AA 18985,Oreophryne geislerorum,31473,alcoholic,"installed, Nov 2009","Cliffside Camp, 500m +/- = from A Allison field catalog","Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga {Papua New Guinea: Morobe Prov.: Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga, Cliffside Camp    :    500 m    :    7.295997634ºS  147.092878935ºE.}",Cliffside Camp,Morobe Prov.,A Allison et al.,01 Sep 2007,"-7.295997634, 147.092878935",500 m,Papua New Guinea,Morobe Prov.,"Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga, Cliffside Camp    ","Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga",-7.295997634,147.0928789,7.295997634ºS 147.092878935ºE,A
AA 19112,Oreophryne geislerorum,31877,alcoholic,"installed, Jul 2009",Cliffside Stream = from AA electronic catalogue,"Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga {Papua New Guinea: Morobe Prov.: Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga, Cliffside Camp    :    500 m    :    7.295997634ºS  147.092878935ºE.}",stream along Cliffside Camp,Morobe Prov.,A Allison,24 Jun 2008,"-7.295997634, 147.092878935",500 m,Papua New Guinea,Morobe Prov.,"Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga, Cliffside Camp    ","Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga",-7.295997634,147.0928789,7.295997634ºS 147.092878935ºE,A
AA 17113,Oreophryne geislerorum,31935,alcoholic,"installed, Jul 2009",Cliffside = A Allison field catalog.,"Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga {Papua New Guinea: Morobe Prov.: Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga, Cliffside Camp    :    520-530 m    :    7.295997634ºS  147.092878935ºE.}",Cliffside Camp,Morobe Prov.,A Allison,10 Sep 2004,"-7.295997634, 147.092878935",520-530 m,Papua New Guinea,Morobe Prov.,"Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga, Cliffside Camp    ","Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga",-7.295997634,147.0928789,7.295997634ºS 147.092878935ºE,A
AA 17121,Oreophryne geislerorum,31936,alcoholic,"installed, Jul 2009",Cliffside = A Allison field catalog.,"Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga {Papua New Guinea: Morobe Prov.: Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga, Cliffside Camp    :    520-530 m    :    7.295997634ºS  147.092878935ºE.}",Cliffside Camp,Morobe Prov.,A Allison,10 Sep 2004,"-7.295997634, 147.092878935",520-530 m,Papua New Guinea,Morobe Prov.,"Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga, Cliffside Camp    ","Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga",-7.295997634,147.0928789,7.295997634ºS 147.092878935ºE,A
AA 17530,Oreophryne geislerorum,31937,alcoholic,"installed, Jul 2009",Shelter - Pine Tree track = A Allison field catalog.,"Kamiali Wildlife Management Area, 3 km N and 10.2 km W of Cape Dinga {Papua New Guinea: Morobe Prov.: Kamiali Wildlife Management Area, 3 km N and 10.2 km W of Cape Dinga, shelter to Pinetree track    :    900-1185 m    :    7.2780797ºS  147.0570652ºE.}",shelter to Pine Tree Camp,Morobe Prov.,A Allison,02 Apr 2005,"-7.2780797, 147.0570652",900-1185 m,Papua New Guinea,Morobe Prov.,"Kamiali Wildlife Management Area, 3 km N and 10.2 km W of Cape Dinga, shelter to Pinetree track    ","Kamiali Wildlife Management Area, 3 km N and 10.2 km W of Cape Dinga",-7.2780797,147.0570652,7.2780797ºS 147.0570652ºE,A
AA 17572,Oreophryne geislerorum,31938,alcoholic,"installed, Jul 2009","Pine Tree Camp, 900m = A Allison field catalog.","Kamiali Wildlife Management Area, 2.6 km N and 9.3 km W of Cape Dinga {Papua New Guinea: Morobe Prov.: Kamiali Wildlife Management Area, 2.6 km N and 9.3 km W of Cape Dinga, Pine Tree Camp    :    900 m    :    7.28188171ºS  147.065022341ºE.}",Pine Tree Camp,Morobe Prov.,A Allison,05 Apr 2005,"-7.28188171, 147.065022341",900 m,Papua New Guinea,Morobe Prov.,"Kamiali Wildlife Management Area, 2.6 km N and 9.3 km W of Cape Dinga, Pine Tree Camp    ","Kamiali Wildlife Management Area, 2.6 km N and 9.3 km W of Cape Dinga",-7.28188171,147.0650223,7.28188171ºS 147.065022341ºE,A
AA 17578,Oreophryne geislerorum,31939,alcoholic,"installed, Jul 2009","Pine Tree Camp, 900m = A Allison field catalog.","Kamiali Wildlife Management Area, 2.6 km N and 9.3 km W of Cape Dinga {Papua New Guinea: Morobe Prov.: Kamiali Wildlife Management Area, 2.6 km N and 9.3 km W of Cape Dinga, Pine Tree Camp    :    900 m    :    7.28188171ºS  147.065022341ºE.}",Pine Tree Camp,Morobe Prov.,A Allison,05 Apr 2005,"-7.28188171, 147.065022341",900 m,Papua New Guinea,Morobe Prov.,"Kamiali Wildlife Management Area, 2.6 km N and 9.3 km W of Cape Dinga, Pine Tree Camp    ","Kamiali Wildlife Management Area, 2.6 km N and 9.3 km W of Cape Dinga",-7.28188171,147.0650223,7.28188171ºS 147.065022341ºE,A
AA 17592,Oreophryne geislerorum,31940,alcoholic,"installed, Jul 2009",Cliffside = A Allison field catalog.,"Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga {Papua New Guinea: Morobe Prov.: Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga, Cliffside Camp    :    520-530 m    :    7.295997634ºS  147.092878935ºE.}",Cliffside Camp,Morobe Prov.,A Allison,05 Apr 2005,"-7.295997634, 147.092878935",520-530 m,Papua New Guinea,Morobe Prov.,"Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga, Cliffside Camp    ","Kamiali Wildlife Management Area, 1.3 km N and 6.2 km W of Cape Dinga",-7.295997634,147.0928789,7.295997634ºS 147.092878935ºE,A
FK 14143,Oreophryne geislerorum,37291,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,20 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14177,Oreophryne geislerorum,37292,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,21 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14232,Oreophryne geislerorum,37293,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,22 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14233,Oreophryne geislerorum,37294,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,22 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14234,Oreophryne geislerorum,37295,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,22 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14235,Oreophryne geislerorum,37296,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,22 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14264,Oreophryne geislerorum,37297,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,22 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14341,Oreophryne geislerorum,37298,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,24 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14342,Oreophryne geislerorum,37299,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,24 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14343,Oreophryne geislerorum,37300,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,24 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14344,Oreophryne geislerorum,37301,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,24 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14345,Oreophryne geislerorum,37302,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,24 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14368,Oreophryne geislerorum,37303,alcoholic + alc gut,"installed, Mar 2016","Camp 1 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.22479° S, 149.10623° E, 530 m) = from F Kraus field catalogue",,,,F Kraus,24 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14584,Oreophryne geislerorum,37304,alcoholic + alc gut,"installed, Mar 2016","Camp 2 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.23884° S, 149.13559° E, 400 m) = from F Kraus field catalogue",,,,F Kraus,30 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14585,Oreophryne geislerorum,37305,alcoholic + alc gut,"installed, Mar 2016","Camp 2 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.23884° S, 149.13559° E, 400 m) = from F Kraus field catalogue",,,,F Kraus,30 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14586,Oreophryne geislerorum,37306,alcoholic + alc gut,"installed, Mar 2016","Camp 2 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.23884° S, 149.13559° E, 400 m) = from F Kraus field catalogue",,,,F Kraus,30 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14587,Oreophryne geislerorum,37307,alcoholic + alc gut,"installed, Mar 2016","Camp 2 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.23884° S, 149.13559° E, 400 m) = from F Kraus field catalogue",,,,F Kraus,30 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14588,Oreophryne geislerorum,37308,alcoholic + alc gut,"installed, Mar 2016","Camp 2 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.23884° S, 149.13559° E, 400 m) = from F Kraus field catalogue",,,,F Kraus,30 Sep 2010,", ",,,,,,-9.22479,149.10623,,A
FK 14686,Oreophryne geislerorum,37309,alcoholic + alc gut,"installed, Mar 2016","Top Garden (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory,  9.24245° S, 149.13500° E, 320 m) = from F Kraus field catalogue","Mt. Victory, vic. {Papua New Guinea: Northern [= Oro] Prov.: Mt. Victory, vic., Top Garden    :    320 m    :    9.24245ºS [9.24245° S (AGD 84)]  149.135ºE [149.13500° E (AGD 84)].}",,Northern [= Oro] Prov.,F Kraus,03 Oct 2010,"-9.24245, 149.135",320 m,Papua New Guinea,Northern [= Oro] Prov.,"Mt. Victory, vic., Top Garden    ","Mt. Victory, vic.",-9.24245,149.135,9.24245ºS 149.135ºE ,A
FK 14687,Oreophryne geislerorum,37310,alcoholic + alc gut,"installed, Mar 2016","Top Garden (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory,  9.24245° S, 149.13500° E, 320 m) = from F Kraus field catalogue","Mt. Victory, vic. {Papua New Guinea: Northern [= Oro] Prov.: Mt. Victory, vic., Top Garden    :    320 m    :    9.24245ºS [9.24245° S (AGD 84)]  149.135ºE [149.13500° E (AGD 84)].}",,Northern [= Oro] Prov.,F Kraus,03 Oct 2010,"-9.24245, 149.135",320 m,Papua New Guinea,Northern [= Oro] Prov.,"Mt. Victory, vic., Top Garden    ","Mt. Victory, vic.",-9.24245,149.135,9.24245ºS 149.135ºE ,A
FK 14688,Oreophryne geislerorum,37311,alcoholic + alc gut,"installed, Mar 2016","Top Garden (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory,  9.24245° S, 149.13500° E, 320 m) = from F Kraus field catalogue","Mt. Victory, vic. {Papua New Guinea: Northern [= Oro] Prov.: Mt. Victory, vic., Top Garden    :    320 m    :    9.24245ºS [9.24245° S (AGD 84)]  149.135ºE [149.13500° E (AGD 84)].}",,Northern [= Oro] Prov.,F Kraus,03 Oct 2010,"-9.24245, 149.135",320 m,Papua New Guinea,Northern [= Oro] Prov.,"Mt. Victory, vic., Top Garden    ","Mt. Victory, vic.",-9.24245,149.135,9.24245ºS 149.135ºE ,A
FK 14689,Oreophryne geislerorum,37312,alcoholic + alc gut,"installed, Mar 2016","Top Garden (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory,  9.24245° S, 149.13500° E, 320 m) = from F Kraus field catalogue","Mt. Victory, vic. {Papua New Guinea: Northern [= Oro] Prov.: Mt. Victory, vic., Top Garden    :    320 m    :    9.24245ºS [9.24245° S (AGD 84)]  149.135ºE [149.13500° E (AGD 84)].}",,Northern [= Oro] Prov.,F Kraus,03 Oct 2010,"-9.24245, 149.135",320 m,Papua New Guinea,Northern [= Oro] Prov.,"Mt. Victory, vic., Top Garden    ","Mt. Victory, vic.",-9.24245,149.135,9.24245ºS 149.135ºE ,A
FK 14690,Oreophryne geislerorum,37313,alcoholic + alc gut,"installed, Mar 2016","Top Garden (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory,  9.24245° S, 149.13500° E, 320 m) = from F Kraus field catalogue","Mt. Victory, vic. {Papua New Guinea: Northern [= Oro] Prov.: Mt. Victory, vic., Top Garden    :    320 m    :    9.24245ºS [9.24245° S (AGD 84)]  149.135ºE [149.13500° E (AGD 84)].}",,Northern [= Oro] Prov.,F Kraus,03 Oct 2010,"-9.24245, 149.135",320 m,Papua New Guinea,Northern [= Oro] Prov.,"Mt. Victory, vic., Top Garden    ","Mt. Victory, vic.",-9.24245,149.135,9.24245ºS 149.135ºE ,A
FK 14691,Oreophryne geislerorum,37314,alcoholic + alc gut,"installed, Mar 2016","Top Garden (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory,  9.24245° S, 149.13500° E, 320 m) = from F Kraus field catalogue","Mt. Victory, vic. {Papua New Guinea: Northern [= Oro] Prov.: Mt. Victory, vic., Top Garden    :    320 m    :    9.24245ºS [9.24245° S (AGD 84)]  149.135ºE [149.13500° E (AGD 84)].}",,Northern [= Oro] Prov.,F Kraus,03 Oct 2010,"-9.24245, 149.135",320 m,Papua New Guinea,Northern [= Oro] Prov.,"Mt. Victory, vic., Top Garden    ","Mt. Victory, vic.",-9.24245,149.135,9.24245ºS 149.135ºE ,A
FK 14714,Oreophryne geislerorum,37315,alcoholic + alc gut,"installed, Mar 2016","Camp 2 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.23884° S, 149.13559° E, 400 m) = from F Kraus field catalogue",,,,F Kraus,04 Oct 2010,", ",,,,,,-9.23884,149.13559,,A
FK 14715,Oreophryne geislerorum,37316,alcoholic + alc gut,"installed, Mar 2016","Camp 2 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.23884° S, 149.13559° E, 400 m) = from F Kraus field catalogue",,,,F Kraus,04 Oct 2010,", ",,,,,,-9.23884,149.13559,,A
FK 14716,Oreophryne geislerorum,37317,alcoholic + alc gut,"installed, Mar 2016","Camp 2 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.23884° S, 149.13559° E, 400 m) = from F Kraus field catalogue",,,,F Kraus,04 Oct 2010,", ",,,,,,-9.23884,149.13559,,A
FK 14717,Oreophryne geislerorum,37318,alcoholic + alc gut,"installed, Mar 2016","Camp 2 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.23884° S, 149.13559° E, 400 m) = from F Kraus field catalogue",,,,F Kraus,04 Oct 2010,", ",,,,,,-9.23884,149.13559,,A
FK 14718,Oreophryne geislerorum,37319,alcoholic + alc gut,"installed, Mar 2016","Camp 2 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.23884° S, 149.13559° E, 400 m) = from F Kraus field catalogue",,,,F Kraus,04 Oct 2010,", ",,,,,,-9.23884,149.13559,,A
FK 14719,Oreophryne geislerorum,37320,alcoholic + alc gut,"installed, Mar 2016","Camp 2 (= Papua New Guinea, Oro [=Northern] Prov., vic. Mt. Victory, 9.23884° S, 149.13559° E, 400 m) = from F Kraus field catalogue",,,,F Kraus,04 Oct 2010,", ",,,,,,-9.23884,149.13559,,A
AA 19620,Oreophryne geislerorum,38714,alcoholic,"installed, Mar 2016","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.23884,149.13559,,A
AA 19621,Oreophryne geislerorum,38715,alcoholic,"installed, Mar 2016","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19622,Oreophryne geislerorum,38716,alcoholic,"installed, Mar 2016","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19623,Oreophryne geislerorum,38717,alcoholic,"installed, Mar 2016","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19624,Oreophryne geislerorum,38718,alcoholic,"installed, Mar 2016","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19625,Oreophryne geislerorum,38719,alcoholic,"installed, Mar 2016","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19626,Oreophryne geislerorum,38720,alcoholic,"installed, Mar 2016","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19627,Oreophryne geislerorum,38721,alcoholic,"installed, Mar 2016","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19628,Oreophryne geislerorum,38722,alcoholic,"installed, Mar 2016","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19629,Oreophryne geislerorum,38723,alcoholic,"installed, Mar 2016","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19630,Oreophryne geislerorum,38724,alcoholic,"installed, Mar 2016","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19631,Oreophryne geislerorum,38725,alcoholic,"installed, Mar 2016","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19632,Oreophryne geislerorum,38726,alcoholic,"tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,18 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19816,Oreophryne geislerorum,38727,alcoholic,"tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,21 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19760,Oreophryne geislerorum,38728,alcoholic,"tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Jarefa Camp, near Itokama, 820 m = from A Allison field catalogue *;* -09.2052°, 148.23746° = from note in accn file per A Allison, Mar 2010.","Itokama [Itogama], near {Papua New Guinea: Northern [= Oro] Prov.: Itokama [Itogama], near, Jarefa Camp    :    820 m    :    9.2052ºS [-9.2052°]  148.23746ºE [148.23746°].}",,Northern [= Oro] Prov.,A Allison,19 Sep 2009,"-9.2052, 148.23746",820 m,Papua New Guinea,Northern [= Oro] Prov.,"Itokama [Itogama], near, Jarefa Camp    ","Itokama [Itogama], near",-9.2052,148.23746,9.2052ºS 148.23746ºE ,A
AA 19810,Oreophryne geislerorum,38729,alcoholic,"tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,21 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19811,Oreophryne geislerorum,38730,alcoholic,"tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,21 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
AA 19812,Oreophryne geislerorum,38731,alcoholic,"tag tied, ready to install, Dec 2011","Papua New Guinea: Northern Province, Itokama, 780 m = from A Allison field catalogue *;* -09.19988°, 148.26456° = from note in accn file per A Allison, Mar 2010.",,,,A Allison,21 Sep 2009,", ",,,,,,-9.19988,148.26456,,A
WV 67-209,Oreophryne geislerorum,38883,alcoholic,"installed, April 2016","Papua New Guinea: Morobe Province, Waria Valley = per A Allison, who rec'd spec. from collector/K. Imada, Apr 2010 *;* TEMPORARILY PLOTTED FROM GOOGLE EARTH: ca. -7° 48' 29.91' S, 147° 23' 52.63"" (see map in accn file; A Allison to confirm collection site",,,,J. Dawson,25 Feb 2009,", ",,,,,,-7.482991,147.235263,,A
FK 15952,Oreophryne geislerorum,40148,alcoholic,"installed, Mar 2016","Mt. Trafalgar, Camp 1, 9.22380°S, 149.15610°E, 187 m = from F Kraus field catalog",,,,F Kraus,01 Nov 2011,", ",,,,,,-9.2238,149.1561,,A
FK 16313,Oreophryne geislerorum,40149,alcoholic,"installed, Mar 2016","Mt. Trafalgar, Camp 1, 9.22380°S, 149.15610°E, 187 m = from F Kraus field catalog",,,,F Kraus,14 Nov 2011,", ",,,,,,-9.2238,149.1561,,A
AA 22972,Oreophryne geislerorum,44710,alcoholic,"installed, April 2016","[Papua New Guinea: Central Province,] Isurava: -8.968114°, 147.732927°, 1358 m = from A Allison field catalogue",,,,A Allison,23 Mar 2014,", ",,,,,,-8.968114,147.732927,,A
